"" "gene.id" "p.value" "q.value" "log.fc" "test.stat"
"79" "YIL074C" 4.420568676511e-13 3.70761029253013e-11 -1.89911888807676 -27.6842640533249
"80" "YOR173W" 5.18995498457784e-13 4.20589329505606e-11 4.75210428569054 27.3443864792179
"81" "YBL075C" 5.20754137724764e-13 4.20589329505606e-11 5.59778423795621 27.3372646852928
"82" "YFL054C" 5.88900380352468e-13 4.58641224793553e-11 2.61647978302461 27.0795736424971
"83" "YGR292W" 5.96672829722507e-13 4.59227488475840e-11 5.00937815427698 27.052237876075
"84" "YLL026W" 5.32034808362197e-13 4.24459965403109e-11 2.68564814333461 27.2921882238739
"85" "YER131W" 5.44249338837949e-13 4.28973394539502e-11 -1.74680333994102 -27.2445238218734
"86" "YPR160W" 6.85538394642442e-13 5.21256440491941e-11 4.55566331746482 26.764424509229
"87" "YPR030W" 7.23088380920938e-13 5.31510582919638e-11 3.04404938209085 26.654663439786
"88" "YDL049C" 7.09730512442798e-13 5.27620115045544e-11 2.40956040798801 26.6929925846153
"89" "YBR169C" 7.41939427541083e-13 5.39307526108196e-11 4.638382722596 26.6018472762575
"90" "YML131W" 6.93202542384574e-13 5.21256440491941e-11 3.47234348616379 26.7415053146669
"91" "YJR019C" 8.17133125817031e-13 5.73978834261958e-11 2.72031500624631 26.4046367397979
"92" "YGR208W" 7.99982805540761e-13 5.68857338461702e-11 -2.10121626852872 -26.4478490095033
"93" "YNL160W" 8.49433095191995e-13 5.84946453552214e-11 4.50890893068291 26.325837046791
"94" "YER024W" 7.84046796293137e-13 5.63652103445022e-11 3.33212405834772 26.4889033055762
"95" "YNL009W" 9.17408665837467e-13 6.25175780407157e-11 4.13641503451291 26.1700287973927
"96" "YLR149C" 1.00579402820963e-12 6.6870340544966e-11 4.28664841926633 25.9850367968009
"97" "YNL036W" 8.2473265699517e-13 5.73978834261958e-11 3.15217536046406 26.3857994006166
"98" "YOR388C" 1.01194798440104e-12 6.6870340544966e-11 4.72327715078519 25.9728132633255
"99" "YBR222C" 9.85817971744895e-13 6.64868161974753e-11 1.99748231553539 26.0252759455661
"100" "YNL202W" 1.06620726020672e-12 6.90606722403205e-11 4.31801618524411 25.8683749959064
"101" "YGR256W" 1.18995725474418e-12 7.5579615150839e-11 5.94606499102967 25.6501221092492
"102" "YEL071W" 1.03267208558875e-12 6.75574078392161e-11 -2.04120243829906 -25.9322288991391
"103" "YHR068W" 1.1777948257161e-12 7.55405269591638e-11 -1.99260906296255 -25.6704657775019
"104" "YMR081C" 1.24188408759374e-12 7.8119285586906e-11 4.53187015161684 25.5657092025642
"105" "YDL110C" 1.36773352994754e-12 8.37352706991803e-11 2.51900956093522 25.3759288675942
"106" "YML018C" 1.25794398317739e-12 7.83759003613954e-11 -1.97347320562321 -25.5403679647063
"107" "YKL163W" 1.53334384975929e-12 9.20287657350942e-11 5.20506834204047 25.1529626951073
"108" "YLR312C" 1.36956190229476e-12 8.37352706991803e-11 5.46490647384252 25.3733118739158
"109" "YAR035W" 1.61454535591196e-12 9.51563578232073e-11 2.90354567423866 25.0529161009909
"110" "YPL054W" 1.70406309419053e-12 9.77893049315300e-11 4.5205119715454 24.9487042062243
"111" "YPR138C" 1.56270019795278e-12 9.29380426818825e-11 1.79540317167057 25.116150186769
