"" "probe.id" "gene.id" "p.value" "q.value" "log.fc" "test.stat"
"1777616_at" "1777616_at" "YML018C" 3.39478475990101e-09 2.87583006637196e-07 -1.82561661962077 -28.4706026144188
"1774614_at" "1774614_at" "YNL200C" 3.76519501356246e-09 3.16023638958124e-07 2.76627125498748 28.0936633667713
"1769609_at" "1769609_at" "YGR110W" 3.7883507232352e-09 3.16023638958124e-07 2.26591297165005 28.0715015261107
"1776749_at" "1776749_at" "YIR038C" 3.89057819940278e-09 3.22092716386921e-07 2.55720943401067 27.9754530048169
"1773662_at" "1773662_at" "YGR066C" 4.19535159812514e-09 3.44712798979786e-07 2.84144487768301 27.7051500208469
"1771265_at" "1771265_at" "YKR049C" 4.4421189736329e-09 3.62264747342241e-07 2.83882413345423 27.5020184247581
"1779266_at" "1779266_at" "YDL204W" 5.25512395411859e-09 4.23498156204468e-07 5.2365024848241 26.9131070196344
"1773976_at" "1773976_at" "YBR203W" 5.27047485759587e-09 4.23498156204468e-07 2.65646956020614 26.9029965337618
"1779905_at" "1779905_at" "YER065C" 5.49588434739919e-09 4.3626892425868e-07 4.90814284658919 26.758245060905
"1773235_at" "1773235_at" "YLR460C" 5.50925252083618e-09 4.3626892425868e-07 -2.60308381505518 -26.7498713677223
"1775271_at" "1775271_at" "YPL230W" 5.75807440664273e-09 4.5269235335102e-07 3.57616223478876 26.5980612493011
"1769426_at" "1769426_at" "YPR002W" 5.99643333145302e-09 4.68064453186561e-07 2.29197392188186 26.4594097093898
"1776644_at" "1776644_at" "YKR058W" 6.11415347910343e-09 4.72470986483262e-07 2.20632426389306 26.3932046036409
"1777343_at" "1777343_at" "YNL202W" 6.13935579068661e-09 4.72470986483262e-07 4.83332353483401 26.3792175377802
"1779578_at" "1779578_at" "YDR059C" 6.22857545679725e-09 4.75985123020142e-07 2.38144065063036 26.3302161058198
"1775303_at" "1775303_at" "YBL064C" 6.36698429349065e-09 4.83183363606012e-07 2.44256329682338 26.2557423467509
"1769411_at" "1769411_at" "YBR149W" 6.45429442004262e-09 4.8643123739466e-07 2.04006815226733 26.2096951479871
"1778290_at" "1778290_at" "YGR244C" 6.59160581460374e-09 4.93377180424587e-07 1.79812762705467 26.1386783326103
"1772426_at" "1772426_at" "YEL020C" 6.67606112867259e-09 4.96299292613157e-07 1.95295239751675 26.0958210559772
"1776156_at" "1776156_at" "YAL061W" 6.87306366346718e-09 5.07492160232226e-07 3.88109908503322 25.998180268331
"1771949_at" "1771949_at" "YMR196W" 7.06353089384431e-09 5.15142415076282e-07 3.31984233807008 25.9067302022906
"1777344_at" "1777344_at" "YJR148W" 7.07095189068835e-09 5.15142415076282e-07 2.1568387556463 25.9032235122115
"1779718_at" "1779718_at" "YPL123C" 7.26228406399239e-09 5.25577750008668e-07 2.07052567056762 25.8142165256667
"1771801_at" "1771801_at" "YLR356W" 7.46200359634923e-09 5.36478784874371e-07 1.83622739064949 25.7240818448166
"1777561_at" "1777561_at" "YGR243W" 7.59234691234538e-09 5.42282137634708e-07 4.34922498864129 25.6667100726803
"1774671_at" "1774671_at" "YKR046C" 7.98981144293972e-09 5.65151791933711e-07 1.60364693494113 25.4983832840532
"1777690_at" "1777690_at" "YIL101C" 8.01597069452098e-09 5.65151791933711e-07 5.59780835593917 25.4876372467299
"1774354_at" "1774354_at" "YOL052C-A" 8.28653267841622e-09 5.80482237882901e-07 5.69274585653987 25.378756025751
"1774485_at" "1774485_at" "YJL066C" 8.53673946135237e-09 5.94200565819482e-07 1.88472381846657 25.2815716431809
"1772689_at" "1772689_at" "YNL015W" 8.59126351951e-09 5.94210935070919e-07 2.42242871363412 25.2608192108208
"1769854_at" "1769854_at" "YDR223W" 8.7457335052956e-09 6.0109041349604e-07 4.30648813531889 25.2028222505911
"1776865_at" "1776865_at" "YKL071W" 8.92875866303276e-09 6.09834216685138e-07 1.930052788765 25.135579221608
"1774540_at" "1774540_at" "YGR248W" 9.14730488162803e-09 6.18132752060073e-07 4.55312141158811 25.0572905931208
"1775450_at" "1775450_at" "YLR301W" 9.16505020332385e-09 6.18132752060073e-07 -1.60396469941289 -25.0510264423568
"1772220_at" "1772220_at" "YDR178W" 9.21995228640116e-09 6.18132752060073e-07 2.2084960409919 25.0317320047268
"1777010_at" "1777010_at" "YLL041C" 9.302532934291e-09 6.1986634088983e-07 2.26889855810228 25.0029527352974
"1774710_at" "1774710_at" "YBR104W" 9.48081363404423e-09 6.27917159956578e-07 -1.88899406161237 -24.9417912386906
"1776828_at" "1776828_at" "YIL169C" 9.72521687715891e-09 6.38109982702355e-07 1.78048037309583 24.8600183233836
"1771158_at" "1771158_at" "YLR342W-A" 9.75149772248292e-09 6.38109982702355e-07 -1.89666541358433 -24.8513632774853
"1777217_at" "1777217_at" "YLR022C" 9.96550148461599e-09 6.44396451028896e-07 -1.66832222123236 -24.7818488729897
"1772692_at" "1772692_at" "YJL163C" 1.01877046198951e-08 6.54889624036549e-07 2.69581223813783 24.711427845841
"1777919_at" "1777919_at" "YKL171W" 1.02544248788166e-08 6.55323713893026e-07 1.81622100353777 24.6906199072653
"1770650_at" "1770650_at" "YDR540C" 1.044328987159e-08 6.6351320765544e-07 -2.18034018116134 -24.6325356263722
"1775014_at" "1775014_at" "YML128C" 1.08368068412035e-08 6.84535405553019e-07 4.95810954172165 24.5152230394044
"1778267_at" "1778267_at" "YOR180C" 1.09871986130076e-08 6.90046588752571e-07 3.27136315301588 24.4716506616256
"1773828_at" "1773828_at" "YNL066W" 1.10954230339599e-08 6.92861616657796e-07 -1.74000860409407 -24.4407087487647
"1774440_at" "1774440_at" "YMR110C" 1.13629925459598e-08 6.99483885372707e-07 2.01104471593876 24.3656456445866
"1778223_at" "1778223_at" "YAR035W" 1.14285740823042e-08 6.99483885372707e-07 2.8975594257781 24.3475511266536
"1775729_at" "1775729_at" "YNL117W" 1.14587313253726e-08 6.99483885372707e-07 5.82977710804689 24.3392696850587
"1773273_at" "1773273_at" "YBL015W" 1.15076072744797e-08 6.99483885372707e-07 1.97634449893544 24.3258999080545
"1779688_at" "1779688_at" "YLR164W" 1.15215134852752e-08 6.99483885372707e-07 3.3004291008009 24.3221076141192
"1769627_at" "1769627_at" "YLR151C" 1.19570172137632e-08 7.16844798881592e-07 1.94011909083747 24.2058843713627
"1772558_at" "1772558_at" "YBR067C" 1.1968425853975e-08 7.16844798881592e-07 5.46785770977828 24.2029041119707
"1779498_at" "1779498_at" "YLR178C" 1.20493866586693e-08 7.16844798881592e-07 3.09993273541062 24.1818463346335
"1780014_at" "1780014_at" "YFR049W" 1.20698611817545e-08 7.16844798881592e-07 1.5938151819233 24.1765461786748
"1778263_at" "1778263_at" "YIL087C" 1.22619411886691e-08 7.24316180052845e-07 1.66202377077493 24.1273108456365
"1772292_at" "1772292_at" "YFL054C" 1.23364699217157e-08 7.24800770454352e-07 2.58643996211338 24.1084404958179
"1771458_at" "1771458_at" "YGR208W" 1.31463024676336e-08 7.68250231905347e-07 -2.10037095336868 -23.9113107902163
"1774057_at" "1774057_at" "YLR345W" 1.32711447160513e-08 7.69547296624351e-07 2.16588206440612 23.88214111532
"1773963_at" "1773963_at" "YCR087C-A" 1.3309337395864e-08 7.69547296624351e-07 -1.59789497272355 -23.8732789892104
